iter	Passed	Remaining
0	1	437
1	4	840
2	5	726
3	6	668
4	8	658
5	10	667
6	11	666
7	13	661
8	16	738
9	18	721
10	20	711
11	21	701
12	22	682
13	24	665
14	25	653
15	27	658
16	29	663
17	30	650
18	32	646
19	33	647
20	34	633
21	36	622
22	37	616
23	39	617
24	40	611
25	41	604
26	43	603
27	45	601
28	46	593
29	47	584
30	48	579
31	49	576
32	51	573
33	52	567
34	53	560
35	54	557
36	56	553
37	57	550
38	58	543
39	59	536
40	60	530
41	62	534
42	63	529
43	64	523
44	65	518
45	66	511
46	67	511
47	68	508
48	70	504
49	70	499
50	71	494
51	73	493
52	74	493
53	75	489
54	76	485
55	78	482
56	80	484
57	81	482
58	82	480
59	83	476
60	84	473
61	86	472
62	87	470
63	88	467
64	89	463
65	90	462
66	92	463
67	93	461
68	95	458
69	96	456
70	99	462
71	100	461
72	101	457
73	102	455
74	104	455
75	105	452
76	106	449
77	107	445
78	108	445
79	110	443
80	111	441
81	112	438
82	113	434
83	114	432
84	115	431
85	117	429
86	118	427
87	119	425
88	120	423
89	122	423
90	123	420
91	124	418
92	125	415
93	126	413
94	127	413
95	129	411
96	129	408
97	130	406
98	131	403
99	133	403
100	134	401
101	136	400
102	137	397
103	137	395
104	139	395
105	141	394
106	142	391
107	143	389
108	144	387
109	145	387
110	147	386
111	148	383
112	149	381
113	149	378
114	151	378
115	152	377
116	154	375
117	154	373
118	155	370
119	157	370
120	158	368
121	159	366
122	160	363
123	161	361
124	162	359
125	164	359
126	165	357
127	166	355
128	167	353
129	167	351
130	169	351
131	171	350
132	172	347
133	172	345
134	173	343
135	174	341
136	176	341
137	177	340
138	178	338
139	179	336
140	180	334
141	183	335
142	184	333
143	185	331
144	186	329
145	188	330
146	189	328
147	190	326
148	191	324
149	192	323
150	194	322
151	195	321
152	196	319
153	197	317
154	198	315
155	199	315
156	200	313
157	201	311
158	202	309
159	203	307
160	205	306
161	206	306
162	207	304
163	208	302
164	209	301
165	212	301
166	213	299
167	214	298
168	215	297
169	218	297
170	219	296
171	220	295
172	222	293
173	223	293
174	225	291
175	225	289
176	226	288
177	227	286
178	229	286
179	230	284
180	231	283
181	232	281
182	233	279
183	235	279
184	236	277
185	238	276
186	239	274
187	240	273
188	241	272
189	242	270
190	243	269
191	244	267
192	246	266
193	247	265
194	248	263
195	249	262
196	250	260
197	250	258
198	251	257
199	253	255
200	254	254
201	255	252
202	256	251
203	257	249
204	258	248
205	259	247
206	260	245
207	261	244
208	262	242
209	263	241
210	267	242
211	268	240
212	269	239
213	271	238
214	272	237
215	273	235
216	274	233
217	275	232
218	276	231
219	277	229
220	278	227
221	279	226
222	279	224
223	280	222
224	281	221
225	282	220
226	283	218
227	284	217
228	285	215
229	285	213
230	286	212
231	288	211
232	289	209
233	290	208
234	291	206
235	291	205
236	292	203
237	294	202
238	295	201
239	296	200
240	297	198
241	299	197
242	300	196
243	301	195
244	302	193
245	303	192
246	304	191
247	305	189
248	306	188
249	307	186
250	308	185
251	308	183
252	309	182
253	310	180
254	312	180
255	313	178
256	314	177
257	315	176
258	316	174
259	317	173
260	318	172
261	319	170
262	320	169
263	321	167
264	322	166
265	324	165
266	325	164
267	326	163
268	326	161
269	327	160
270	328	158
271	329	157
272	330	155
273	330	154
274	331	153
275	332	151
276	333	150
277	333	148
278	334	147
279	335	146
280	336	144
281	336	143
282	337	141
283	338	140
284	338	139
285	339	137
286	340	136
287	341	135
288	342	134
289	343	132
290	344	131
291	345	130
292	346	128
293	347	127
294	348	126
295	349	125
296	350	123
297	351	122
298	352	121
299	353	120
300	354	118
301	354	117
302	355	116
303	357	115
304	359	114
305	360	112
306	360	111
307	361	110
308	362	109
309	363	107
310	364	106
311	364	105
312	365	104
313	366	102
314	367	101
315	368	100
316	369	98
317	369	97
318	370	96
319	371	95
320	372	93
321	372	92
322	373	91
323	374	90
324	375	88
325	376	87
326	377	86
327	378	85
328	379	84
329	380	82
330	381	81
331	382	80
332	382	79
333	384	78
334	385	77
335	385	75
336	386	74
337	387	73
338	388	72
339	389	70
340	389	69
341	390	68
342	391	67
343	393	66
344	393	65
345	394	63
346	395	62
347	396	61
348	397	60
349	398	59
350	398	57
351	399	56
352	400	55
353	401	54
354	402	53
355	403	52
356	404	50
357	404	49
358	405	48
359	407	47
360	407	46
361	408	45
362	409	44
363	410	42
364	411	41
365	411	40
366	412	39
367	412	38
368	413	36
369	414	35
370	414	34
371	415	33
372	416	32
373	417	31
374	418	30
375	418	28
376	419	27
377	420	26
378	421	25
379	422	24
380	423	23
381	425	22
382	425	21
383	426	20
384	427	18
385	428	17
386	429	16
387	430	15
388	430	14
389	431	13
390	432	12
391	433	11
392	434	9
393	435	8
394	436	7
395	437	6
396	438	5
397	439	4
398	439	3
399	440	2
400	441	1
401	442	0
