,Model 1,Model 2,z-score,p-value
0,XGBoostClassifier-pre,RandomForestClassifier-pre,-1.598675102009281,0.10989281264387998
1,CatBoostClassifier-pre,RandomForestClassifier-pre,-1.598675102009281,0.10989281264387998
2,CatBoostClassifier-pre,XGBoostClassifier-pre,-0.0,1.0
3,LassoLogistic-pre,RandomForestClassifier-pre,-0.1403536262486509,0.8883805959798825
4,LassoLogistic-pre,XGBoostClassifier-pre,-0.9706309637907967,0.3317320811242245
5,LassoLogistic-pre,CatBoostClassifier-pre,-0.9765882474032442,0.32877303977983585
6,RandomForestClassifier-post,RandomForestClassifier-pre,-1.7815809435023355,0.07481759432545221
7,RandomForestClassifier-post,XGBoostClassifier-pre,-0.17892448052808924,0.8579970002779218
8,RandomForestClassifier-post,CatBoostClassifier-pre,-0.18552094902775795,0.8528204505138811
9,RandomForestClassifier-post,LassoLogistic-pre,-1.1732026655194838,0.2407145433921286
10,XGBoostClassifier-post,RandomForestClassifier-pre,-1.623880014462233,0.10440141871333054
11,XGBoostClassifier-post,XGBoostClassifier-pre,-0.1244006452565108,0.9009980624768563
12,XGBoostClassifier-post,CatBoostClassifier-pre,-0.12655555109557282,0.8992921790613946
13,XGBoostClassifier-post,LassoLogistic-pre,-1.0798507945618698,0.2802086277565564
14,XGBoostClassifier-post,RandomForestClassifier-post,-0.512989176042575,0.6079588921750005
15,CatBoostClassifier-post,RandomForestClassifier-pre,-1.0028530728448122,0.3159317573011773
16,CatBoostClassifier-post,XGBoostClassifier-pre,-0.6520835843254082,0.5143472532638718
17,CatBoostClassifier-post,CatBoostClassifier-pre,-0.6520835843254082,0.5143472532638718
18,CatBoostClassifier-post,LassoLogistic-pre,-0.4969969698337724,0.619191188154594
19,CatBoostClassifier-post,RandomForestClassifier-post,-1.083927980305266,0.2783967324578872
20,CatBoostClassifier-post,XGBoostClassifier-post,-1.4272480642961278,0.15350840480436795
21,LassoLogistic-post,RandomForestClassifier-pre,-0.14594970643572833,0.8839610916133843
22,LassoLogistic-post,XGBoostClassifier-pre,-1.3650713530198195,0.17223062477920792
