,Model,Accuracy,Sensitivity (Recall-1),Specificity (Recall-0),F1,PR-AUC,ROC-AUC
1,RandomForestClassifier-pre,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7094304388422035,0.6666666666666667
2,XGBoostClassifier-pre,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8384615384615384,0.875
3,CatBoostClassifier-pre,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8384615384615384,0.875
4,LassoLogistic-pre,0.6666666666666666,0.0,1.0,0.0,0.6059981684981685,0.6944444444444444
5,RandomForestClassifier-post,0.8888888888888888,0.6666666666666666,1.0,0.8,0.8534902597402597,0.8888888888888888
6,XGBoostClassifier-post,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8341750841750841,0.8611111111111112
7,CatBoostClassifier-post,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.7272727272727273,0.766898148148148,0.7777777777777778
8,LassoLogistic-post,0.8333333333333334,0.5,1.0,0.6666666666666666,0.6850714644832292,0.6527777777777778
9,RandomForestClassifier-delta,0.8333333333333334,0.5,1.0,0.6666666666666666,0.9436507936507936,0.9722222222222222
10,XGBoostClassifier-delta,0.8333333333333334,0.5,1.0,0.6666666666666666,0.9742063492063491,0.986111111111111
11,CatBoostClassifier-delta,0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,0.9742063492063491,0.986111111111111
12,LassoLogistic-delta,0.5,0.8333333333333334,0.3333333333333333,0.5263157894736842,0.4031714200831848,0.5833333333333334
13,RandomForestClassifier-META,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.7882631257631257,0.8472222222222222
14,XGBoostClassifier-META,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7888888888888889,0.75
15,CatBoostClassifier-META,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.7272727272727273,0.9037698412698412,0.9444444444444444
16,LassoLogistic-META,0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,0.9742063492063491,0.986111111111111
17,RandomForestClassifier-META_C,0.8888888888888888,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8156565656565657,0.875
18,XGBoostClassifier-META_C,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7333333333333333,0.7222222222222222
19,CatBoostClassifier-META_C,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.7272727272727273,0.9104166666666667,0.9444444444444444
20,LassoLogistic-META_C,0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,0.9553571428571428,0.9722222222222223
